Id,carat,cut,color,clarity,depth,table,price,x,y,z
169,0.34,Ideal,G,VS2,61.5,56.0,596,4.47,4.5,2.76
170,1.26,Ideal,G,SI1,59.6,57.0,6738,7.08,7.04,4.21
171,0.36,Ideal,D,SI1,61.6,56.0,663,4.54,4.58,2.81
172,0.41,Ideal,E,VS2,61.8,54.0,935,4.76,4.79,2.95
173,0.3,Good,G,IF,63.8,55.0,956,4.28,4.24,2.72
174,2.17,Good,H,SI2,58.9,62.0,16036,8.48,8.52,5.01
175,0.27,Very Good,F,VS2,63.3,58.0,470,4.08,4.1,2.59
176,1.0,Ideal,E,I1,61.8,56.0,3584,6.43,6.38,3.96
177,1.14,Ideal,G,IF,61.1,57.0,10313,6.7,6.76,4.11
178,0.26,Very Good,F,VVS1,61.3,58.0,562,4.13,4.16,2.54
179,1.01,Very Good,F,VS2,63.1,58.0,6787,6.4,6.35,4.02
180,0.28,Very Good,E,VVS2,58.7,60.0,608,4.31,4.34,2.54
181,0.91,Premium,D,SI2,62.3,57.0,3781,6.22,6.14,3.85
182,1.26,Ideal,G,VS2,61.5,57.0,5792,6.94,6.89,4.25
183,0.81,Ideal,D,SI1,62.0,56.0,3852,5.97,6.0,3.71
184,0.38,Ideal,H,VVS1,60.7,56.0,1069,4.75,4.74,2.88
185,0.4,Premium,G,VVS2,62.7,59.0,982,4.69,4.72,2.95
186,1.23,Very Good,F,SI2,60.9,58.0,4661,6.93,6.96,4.23
187,0.53,Good,F,SI1,63.8,58.0,1268,5.12,5.17,3.28
188,0.33,Premium,E,SI1,62.7,56.0,743,4.45,4.39,2.77
189,0.32,Premium,G,VS1,62.8,58.0,828,4.39,4.34,2.74
190,0.43,Ideal,D,VS2,60.7,57.0,1056,4.88,4.91,2.97
191,1.52,Ideal,F,VS2,62.8,55.0,14038,7.37,7.28,4.6
192,0.62,Good,G,VS1,62.5,60.8,1893,5.37,5.47,3.39
193,1.54,Premium,G,SI1,60.5,61.0,11574,7.47,7.44,4.51
194,0.44,Premium,G,VS2,60.6,58.0,828,4.9,4.96,2.99
195,1.16,Premium,I,VS1,60.4,59.0,5457,6.89,6.82,4.14
196,0.35,Ideal,D,VS2,62.4,57.0,1063,4.56,4.51,2.83
197,0.3,Ideal,F,IF,62.1,55.0,886,4.31,4.35,2.69
198,0.4,Good,D,VS2,64.4,56.0,814,4.62,4.67,2.99
199,0.43,Premium,H,SI2,61.8,59.0,887,4.86,4.85,3.0
200,0.53,Good,E,SI1,63.1,56.0,1355,5.15,5.19,3.26
201,0.32,Ideal,G,SI1,61.3,57.0,612,4.4,4.37,2.69
202,1.61,Ideal,F,VS1,62.0,55.0,17256,7.52,7.55,4.67
203,0.53,Very Good,G,VS1,63.2,55.0,1727,5.15,5.13,3.25
204,1.5,Fair,F,SI2,64.7,59.0,7056,7.13,7.05,4.59
205,1.0,Premium,D,SI2,61.6,58.0,4626,6.45,6.37,3.95
206,0.5,Premium,E,I1,61.4,60.0,840,5.18,5.03,3.14
207,0.83,Very Good,D,VS1,58.2,59.0,4521,6.19,6.24,3.62
208,2.01,Ideal,I,SI1,61.9,56.0,14558,8.16,8.08,5.03
209,0.65,Good,G,VS1,60.0,60.4,2241,5.6,5.7,3.39
210,0.35,Very Good,H,VS2,61.8,56.0,552,4.54,4.58,2.82
211,0.57,Very Good,E,SI1,60.3,57.0,1608,5.34,5.4,3.24
212,1.7,Premium,G,SI2,62.0,57.0,11043,7.72,7.63,4.76
213,0.78,Premium,F,SI1,62.3,57.0,2469,5.86,5.85,3.65
214,0.58,Ideal,E,VS2,61.6,55.0,1984,5.38,5.33,3.3
215,0.7,Ideal,I,VVS2,61.6,56.5,2487,5.65,5.72,3.51
216,1.24,Very Good,E,SI1,61.7,59.0,8073,6.85,6.89,4.24
217,0.71,Very Good,F,VS1,60.0,57.0,2807,5.84,5.9,3.52
218,1.1,Premium,H,SI1,62.1,58.0,4354,6.61,6.59,4.1
219,0.9,Premium,E,SI1,62.2,59.0,4259,6.21,6.16,3.88
220,1.3,Ideal,D,VVS1,61.6,55.7,15535,6.98,7.02,4.31
221,0.71,Fair,F,SI2,65.2,55.5,2103,5.52,5.58,3.62
222,1.0,Premium,G,VS2,60.6,60.0,6048,6.4,6.3,3.85
223,0.3,Very Good,G,VVS2,63.2,57.0,878,4.28,4.23,2.69
224,0.7,Ideal,E,SI1,62.8,56.0,2537,5.69,5.72,3.58
225,0.32,Good,H,SI1,63.7,55.0,591,4.33,4.3,2.75
226,0.31,Premium,E,VVS1,61.3,58.0,924,4.36,4.39,2.68
227,0.8,Ideal,E,SI1,61.1,56.0,4053,5.98,6.01,3.66
228,0.54,Premium,G,VS2,58.7,62.0,1637,5.36,5.34,3.14
229,0.41,Very Good,J,VS1,60.8,61.0,647,4.72,4.79,2.89
230,1.22,Ideal,H,VS2,61.3,56.0,8596,6.85,6.88,4.21
231,1.03,Very Good,F,IF,62.8,57.0,10032,6.4,6.47,4.04
232,1.51,Ideal,E,SI2,61.9,56.0,10781,7.36,7.31,4.54
233,0.3,Premium,F,SI1,62.1,60.0,641,4.28,4.26,2.65
234,1.23,Premium,G,VS1,61.3,58.0,8759,6.87,6.89,4.22
235,0.72,Ideal,F,SI2,61.7,55.0,2340,5.77,5.81,3.57
236,1.5,Premium,D,SI2,59.9,62.0,10517,7.4,7.37,4.42
237,1.17,Premium,F,SI1,61.9,60.0,5366,6.72,6.66,4.14
238,0.52,Ideal,D,SI1,61.8,57.0,1600,5.14,5.19,3.19
239,1.52,Premium,E,SI1,62.4,59.0,10767,7.34,7.37,4.59
240,0.37,Fair,F,IF,52.3,61.0,1166,4.96,4.91,2.58
241,0.58,Very Good,F,VVS2,60.0,57.0,2201,5.44,5.42,3.26
242,1.04,Very Good,D,SI2,63.1,58.0,3780,6.39,6.33,4.01
243,0.39,Ideal,F,VS2,62.3,55.0,971,4.69,4.71,2.93
244,0.41,Premium,E,SI2,59.5,62.0,818,4.84,4.8,2.87
245,0.34,Good,H,VS2,63.1,56.0,537,4.41,4.46,2.8
246,0.24,Very Good,E,VVS1,60.3,61.0,521,4.03,4.06,2.44
247,1.52,Fair,G,SI2,64.9,59.0,5533,7.19,7.15,4.65
248,0.71,Ideal,G,SI2,61.3,55.0,2387,5.76,5.79,3.54
249,0.92,Good,E,SI1,63.3,57.0,3649,6.17,6.22,3.92
250,0.5,Premium,F,SI1,62.5,59.0,1409,5.03,4.99,3.13
251,1.02,Premium,F,SI2,63.0,58.0,4398,6.43,6.37,4.03
252,1.03,Ideal,F,VS1,62.8,54.0,8237,6.48,6.39,4.05
253,1.34,Ideal,H,IF,60.9,57.0,11109,7.09,7.19,4.35
254,0.51,Premium,G,VVS2,61.7,58.0,1974,5.18,5.13,3.18
255,0.32,Premium,D,VVS2,61.5,60.0,926,4.37,4.41,2.7
256,1.0,Good,G,VS2,58.6,65.0,5242,6.61,6.53,3.85
257,1.0,Very Good,H,VVS2,60.3,59.0,5929,6.41,6.46,3.88
258,0.34,Ideal,I,IF,62.1,54.0,695,4.49,4.53,2.8
259,0.72,Premium,G,VS1,62.3,61.0,2646,5.73,5.66,3.55
260,0.7,Ideal,D,SI1,61.8,55.0,3471,5.72,5.74,3.54
261,0.57,Premium,G,VS2,62.6,55.0,1728,5.31,5.26,3.31
262,0.3,Ideal,F,VVS1,61.9,57.0,776,4.3,4.32,2.67
263,1.0,Ideal,J,SI2,61.2,56.0,2657,6.49,6.38,3.94
264,1.12,Very Good,H,SI2,60.9,60.0,4498,6.71,6.76,4.1
265,0.35,Ideal,F,SI1,62.4,55.0,583,4.52,4.55,2.83
266,0.34,Ideal,G,IF,62.2,56.0,984,4.45,4.46,2.77
267,0.91,Ideal,E,SI1,61.9,55.0,4623,6.18,6.22,3.84
268,0.4,Premium,D,VS2,61.7,59.0,982,4.72,4.75,2.92
269,0.53,Very Good,G,SI1,61.0,55.0,1219,5.21,5.32,3.21
270,0.36,Premium,H,VS1,60.5,59.0,631,4.6,4.63,2.79
271,1.52,Very Good,J,VS2,63.3,56.0,7504,7.33,7.27,4.62
272,0.52,Ideal,G,VVS1,60.7,55.0,2065,5.19,5.29,3.18
273,0.41,Premium,G,SI1,60.3,59.0,719,4.76,4.79,2.88
274,0.38,Ideal,E,SI1,61.1,55.0,844,4.69,4.73,2.88
275,0.54,Ideal,G,VVS2,61.4,55.0,1985,5.22,5.3,3.23
276,1.08,Ideal,H,VS1,61.9,57.0,5791,6.58,6.64,4.09
277,0.96,Good,G,SI1,56.6,63.0,3522,6.52,6.39,3.67
278,1.51,Good,F,SI1,60.9,61.0,11560,7.3,7.32,4.45
279,0.3,Ideal,G,VVS2,62.7,57.0,878,4.29,4.26,2.68
280,0.57,Premium,E,SI2,62.5,54.0,1058,5.35,5.3,3.33
281,1.12,Premium,H,SI1,62.2,60.0,5363,6.65,6.59,4.12
282,0.25,Very Good,F,VVS2,63.2,57.0,575,3.99,4.01,2.53
283,0.53,Ideal,D,VS2,61.0,56.0,1659,5.26,5.29,3.22
284,0.4,Ideal,F,VVS2,61.1,57.0,972,4.73,4.8,2.91
285,1.01,Good,E,VS1,65.8,55.0,6159,6.2,6.23,4.09
286,1.01,Ideal,D,VVS2,62.3,53.0,11082,6.4,6.47,4.02
287,0.71,Good,F,SI1,63.6,54.0,2345,5.65,5.61,3.58
288,0.52,Premium,F,VVS2,61.8,60.0,2870,5.16,5.13,3.18
289,0.5,Premium,F,VS2,62.4,60.0,1654,5.08,5.05,3.16
290,0.35,Ideal,D,VVS1,61.5,57.0,1167,4.52,4.55,2.79
291,0.9,Fair,F,VS2,64.4,53.0,4229,6.08,6.04,3.9
292,1.52,Premium,J,VS1,62.0,59.0,8258,7.36,7.34,4.56
293,0.91,Very Good,F,SI1,62.2,57.0,4108,6.19,6.25,3.87
294,0.28,Ideal,D,VVS1,61.7,57.0,780,4.23,4.2,2.6
295,0.52,Premium,F,VS2,60.7,59.0,1720,5.18,5.14,3.13
296,0.42,Premium,F,SI1,61.8,58.0,773,4.81,4.84,2.98
297,1.3,Premium,I,VS2,60.3,60.0,5242,7.01,6.99,4.22
298,0.51,Premium,E,VS2,62.5,60.0,1590,5.08,5.1,3.18
299,1.51,Ideal,F,SI1,60.7,59.0,11302,7.42,7.44,4.51
300,0.62,Ideal,E,SI1,61.5,57.0,1749,5.44,5.49,3.36
301,0.33,Ideal,E,VS2,62.3,57.0,928,4.43,4.37,2.74
302,1.0,Good,H,SI2,63.2,60.0,3740,6.27,6.3,3.97
303,0.32,Good,G,VS2,56.7,64.0,603,4.52,4.55,2.57
304,0.7,Good,F,VS1,64.0,57.0,2381,5.62,5.54,3.57
305,0.35,Ideal,F,VS2,61.4,54.0,906,4.58,4.54,2.8
306,0.7,Ideal,D,VS1,62.6,58.0,3287,5.64,5.67,3.54
307,1.02,Premium,H,SI1,59.2,58.0,4754,6.6,6.57,3.9
308,1.51,Ideal,H,SI2,61.7,57.0,6384,7.39,7.36,4.55
309,1.03,Very Good,F,VVS2,61.3,57.0,8375,6.49,6.53,3.99
310,1.73,Premium,G,VS1,61.6,60.0,11867,7.67,7.62,4.71
311,0.51,Ideal,G,VS1,61.8,60.0,1757,5.08,5.12,3.15
312,0.39,Ideal,D,VS1,61.9,57.0,1095,4.69,4.71,2.91
313,0.31,Ideal,G,VVS1,62.0,53.0,789,4.35,4.39,2.71
314,0.38,Premium,H,SI1,59.7,60.0,633,4.66,4.68,2.79
315,0.29,Ideal,H,VVS1,62.1,55.0,607,4.28,4.3,2.66
316,1.01,Ideal,J,SI2,61.4,56.0,3997,6.44,6.47,3.97
317,0.7,Fair,F,SI2,64.8,57.0,1792,5.65,5.59,3.64
318,0.72,Premium,D,VS1,62.7,56.0,3601,5.76,5.69,3.59
319,0.73,Very Good,E,VS1,60.9,61.0,3370,5.79,5.81,3.53
320,1.0,Ideal,G,VS2,62.6,57.0,5967,6.47,6.4,4.03
321,0.59,Ideal,F,VS1,61.1,56.0,2140,5.43,5.47,3.33
322,1.05,Very Good,G,SI2,62.6,62.0,4516,6.45,6.49,4.05
323,1.01,Ideal,I,VS2,59.9,61.0,4685,6.49,6.53,3.9
324,2.01,Good,I,VS2,65.0,57.0,17497,7.85,7.99,5.15
325,1.59,Premium,G,SI1,62.2,58.0,9707,7.51,7.45,4.65
326,0.3,Very Good,G,VS1,63.4,55.0,725,4.32,4.26,2.72
327,0.7,Premium,J,VS1,60.9,58.0,2005,5.73,5.66,3.47
328,0.3,Ideal,I,VVS1,62.4,56.0,709,4.32,4.3,2.69
329,0.97,Very Good,H,SI1,62.8,55.0,4404,6.25,6.3,3.94
330,0.31,Premium,H,VS1,62.9,58.0,698,4.34,4.31,2.72
331,1.21,Premium,J,VVS2,60.8,60.0,5674,6.88,6.86,4.18
332,0.91,Fair,H,SI1,64.8,57.0,3180,6.12,6.07,3.95
333,1.11,Ideal,G,IF,61.9,55.0,9931,6.64,6.68,4.12
334,1.62,Premium,I,VS1,61.7,59.0,10362,7.55,7.47,4.63
335,0.5,Ideal,D,SI2,61.3,54.0,1063,5.11,5.03,3.11
336,0.51,Very Good,E,SI1,62.9,57.0,1304,5.06,5.11,3.2
337,1.29,Ideal,J,SI1,61.6,58.0,5607,6.96,6.99,4.3
338,0.92,Premium,H,SI2,60.4,59.0,3174,6.36,6.33,3.83
339,1.5,Very Good,H,SI2,62.5,60.0,8184,7.25,7.32,4.55
340,0.9,Fair,D,SI1,60.4,61.0,3812,6.24,6.22,3.76
341,0.51,Very Good,D,VS1,63.3,57.0,1882,5.07,5.1,3.22
342,1.01,Premium,E,SI2,59.1,60.0,4412,6.57,6.55,3.88
343,0.38,Very Good,D,SI1,61.3,57.0,701,4.67,4.7,2.87
344,0.3,Very Good,H,SI1,61.3,61.0,421,4.25,4.27,2.61
345,0.52,Good,I,SI1,63.3,55.0,978,5.1,5.13,3.24
346,0.72,Ideal,E,SI1,62.1,54.0,2688,5.76,5.8,3.59
347,0.25,Very Good,E,VS2,63.3,56.0,436,4.01,4.05,2.55
348,0.7,Ideal,F,VS1,61.2,54.0,2940,5.92,5.64,3.54
349,1.01,Good,F,SI1,63.4,55.0,4339,6.35,6.42,4.05
350,0.56,Ideal,H,SI1,61.9,54.0,1270,5.3,5.33,3.29
351,0.6,Ideal,E,VS1,61.0,56.0,2171,5.44,5.47,3.33
352,0.75,Very Good,D,SI2,63.6,58.0,2618,5.71,5.76,3.65
353,1.35,Premium,J,SI1,60.9,59.0,5546,7.07,7.12,4.32
354,0.33,Very Good,E,VVS1,63.2,53.0,770,4.42,4.47,2.81
